Дата,USDRUB,EURRUB
2018-11-01,65.8644,74.5241
2018-11-02,65.762,75.006
2018-11-03,66.1935,75.3443
2018-11-04,66.1582,75.3446
2018-11-05,66.1582,75.3043
2018-11-06,66.0625,75.4181
2018-11-07,66.0756,75.3965
2018-11-08,66.1847,75.7959
2018-11-09,66.78,76.1854
2018-11-10,67.7973,76.8125
2018-11-11,67.92,77.0042
2018-11-12,67.92,77.0042
2018-11-13,67.7734,76.1769
2018-11-14,68.0177,76.58
2018-11-15,67.1636,75.9425
2018-11-16,66.6717,75.4903
2018-11-17,66.0783,75.4146
2018-11-18,65.9834,75.3566
2018-11-19,65.9834,75.3566
2018-11-20,65.5738,75.1
2018-11-21,66.2094,75.2517
2018-11-22,65.6323,74.7698
2018-11-23,65.71,74.9567
2018-11-24,66.2637,75.0824
2018-11-25,66.2125,75.1015
2018-11-26,66.2125,75.1015
2018-11-27,67.159,76.098
2018-11-28,67.2226,75.9632
2018-11-29,66.8677,76.1249
2018-11-30,66.1332,75.2265
